HEADER,"GEMAS, agricultural soil, 0-20 cm, air dried, <2 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT DATASET,"field duplicates included, analytical duplicates and standards removed, ATTENTION: original instrument readings, including values below detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE IDENTIFIER,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COORDINATES,,,,,XCOO,YCOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT VARIABLES,,,,,,,,,incomplete,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRACTION,,,,,,,,,,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia,,,silver-thiourea,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
METHOD,,,,,,,,,,"ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15",IR,pH-meter,ICP-AES,LECO,LECO,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,GRAV,,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF,XRF
LDL,,,,,,,,,,0.002,50,0.01,0.0002,0.5,0.5,0.05,0.005,100,0.01,0.1,0.05,0.1,0.01,0.01,100,0.05,0.02,0.01,0.003,0.003,20,0.05,0.05,50,1,0.01,2,0.02,0.1,10,0.01,0.001,0.001,0.1,0.0005,5,0.002,0.05,0.05,0.01,0.5,0.005,0.02,0.02,2,0.0005,0.04,0.1,0.01,0.01,0.1,0.05,0.1,0.1,0.1,,,0.1,467,0.001,6,0.05,265,0.01,70,0.001,8,0.05,302,0.005,36,0.01,74,0.005,42,0.001,4,0.01,40,0.002,20,0.05,500,0.01,,3,5,3,20,3,4,3,5,2,5,20,2,2,3,3,2,5,2,4,2,5,5,3,5,5,3,3,3
UNIT,,,,,,,,,m a.s.l.,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,wt%,pH,meq,wt%,wt%,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,mg/kg,wt_perc,wt_perc,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
,ID,COUNTRY,C_ID,TYPE,XCOO,YCOO,XLAEA,YLAEA,ALTITUDE,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,TOC,pH_CaCl2,CEC,S_wt%,C_wt%,SiO2,Si_XRF,TiO2,Ti_XRF,Al2O3,Al_XRF,Fe2O3,Fe_XRF,MnO,Mn_XRF,MgO,Mg_XRF,CaO,Ca_XRF,Na2O,Na_XRF,K2O,K_XRF,P2O5,P_XRF,SO3,S_XRF,Cl,Cl_XRF,F,F_XRF,LOI,Sum_RF,As_XRF,Ba_XRF,Bi_XRF,Ce_XRF,Co_XRF,Cr_XRF,Cs_XRF,Cu_XRF,Ga_XRF,Hf_XRF,La_XRF,Mo_XRF,Nb_XRF,Ni_XRF,Pb_XRF,Rb_XRF,Sb_XRF,Sc_XRF,Sn_XRF,Sr_XRF,Ta_XRF,Th_XRF,U_XRF,V_XRF,W_XRF,Y_XRF,Zn_XRF,Zr_XRF
,3001,GER,39,Ap,10.6667,52.4167,4366358.988032,3256570.511389,77,0.02324476,2804.888352,1.55405313,0.004892651,1.941095589,19.36112112,0.071306634,0.098595958,1256.40604,0.21204469,10.29354987,0.856994001,5.658739419,0.386798399,3.470449667,2893.598938,0.991339021,0.01,0.021533228,0.043690142,0.01906673,558.6544891,6.169022781,2.946336282,411.3191195,144.2570304,0.15903899,27.14448401,0.208269341,1.93363224,523.016609,14.91435776,0.0005,0.0005,6.351606396,0.00025,79.92259502,0.168016601,0.515129166,0.16248792,0.434931661,10.01830527,0.010470122,0.01,0.85539286,25.97515554,0.063804603,0.424709581,12.82990034,0.073777137,1.904372077,19.21420031,0.65248993,1.3,6.05,9.3,0.018,1.36,89.27,417283,0.306,1834,3.57,18894,0.8,5595,0.028,217,0.15,905,0.341,2437,0.4,2967,1.181,9804,0.135,589,0.005,20,0.001,10,0.025,250,3.67,99.84,1.5,253,1.5,10,1.5,25,1.5,2.5,3,10,10,1,8,1.5,19,38,2.5,3,2,47,2.5,5,1.5,24,2.5,13,30,324
,3002,SKA,20,Ap,19.608,48.5683,5028057.752091,2874475.409649,775,0.026366061,12250.73486,2.906920475,0.000757157,0.81446957,58.28105174,0.389015894,0.151392115,934.6024696,0.159912698,40.89871866,4.818795539,8.015486045,1.170163459,4.944618713,13391.18164,3.823251983,0.01,0.005,0.063983061,0.014445293,2033.311278,14.5460607,11.35688374,3003.397832,447.1854126,0.307939773,19.7124264,0.610991639,5.41883029,547.4923839,20.3817877,0.0005,0.0005,23.07405522,0.000604964,201.6242218,0.967821094,0.99552317,0.175027146,0.62443267,12.10328391,0.0025,0.01,4.586620815,390.043003,0.182274144,1.439509254,18.60049439,0.023712177,2.233001964,49.99240505,0.173120905,2,4.9,11.1,0.025,2.09,65.44,305892,0.683,4095,15.18,80340,3.53,24690,0.08,620,1.04,6272,0.71,5074,2.11,15653,2.602,21600,0.195,851,0.005,20,0.001,10,0.025,250,8.12,99.72,4,862,1.5,77,8,24,5,2.5,21,8,22,1,11,6,25,75,2.5,8,2,278,2.5,13,3,68,2.5,14,67,281
,3003,EST,9,Ap,22.5333,58.58,5046996.613334,4006167.894260,,0.026155791,4573.206296,1.881863344,0.000454858,3.724081424,24.0824889,0.402534404,0.135724125,2619.604489,0.178119742,27.76579594,2.805133934,7.60515134,0.742340693,6.485561103,7557.310791,1.950309881,0.01,0.005,0.028010333,0.009977839,1045.963924,13.93886337,6.823227302,1501.966602,259.8720535,0.39970182,28.5189912,0.706128294,4.82725054,697.7896614,10.58576003,0.0005,0.0005,14.31502987,0.00025,344.7743225,0.073457876,1.029572657,0.21754377,0.631052845,22.61732305,0.0025,0.01,1.594454452,131.4545858,0.078740023,0.525600212,12.13253747,0.06398711,4.370484607,44.07964345,0.461417755,2.8,6.2,13.9,0.03,2.86,77.21,360910,0.28,1679,7.68,40646,1.74,12170,0.048,372,0.51,3075,0.956,6833,1.25,9273,2.605,21625,0.196,855,0.005,20,0.005,50,0.025,250,7.33,99.79,1.5,453,1.5,39,6,20,4,2.5,9,12,10,1,7,6,19,88,2.5,4,2,111,2.5,9,1.5,30,2.5,21,59,222
,3004,LIT,9,Ap,24.9375,55.4631,5258480.126536,3693116.320088,83,0.031878122,5149.616699,1.277247613,0.00035878,1.489999389,42.36565909,0.241055191,0.08525996,3269.129468,0.140446221,24.2237575,2.850355344,8.026937795,0.483483202,5.22275557,6862.015381,1.851743401,0.01,0.052145437,0.016036725,0.011506391,652.4461851,13.0206414,5.234645696,1676.184858,153.5411519,0.121897367,19.48582799,0.32898919,5.376805041,424.1865701,7.667461917,0.001074742,0.0005,7.978105376,0.00025,227.781086,0.079555338,1.130483371,0.164137364,0.404372871,11.26727186,0.0025,0.01,2.050475096,59.00802147,0.071123762,0.633903996,11.67790403,0.038013836,4.51322497,19.37468985,1.253462114,1.8,6.81,15.6,0.02,1.79,81.31,380075,0.396,2374,6.45,34137,1.56,10911,0.033,256,0.53,3196,0.844,6032,0.59,4377,2.28,18927,0.124,541,0.04,160,0.002,20,0.025,250,5.66,99.81,1.5,374,1.5,52,6,25,4,2.5,6,2.5,10,1,10,8,14,57,2.5,4,2,73,2.5,5,3,30,2.5,20,33,329
,3005,NOR,9,Ap,25.0675,70.5008,4884643.707564,5324544.678821,4,0.022571689,3394.324022,0.597463472,0.00095925,2.647695497,37.46669204,0.101138608,0.054308025,5935,0.357953981,19.82957908,2.428461208,6.915636314,0.963197663,6.812118944,7064.887695,1.476346775,0.03086194,0.014019803,0.023531185,0.003932066,1096.036713,14.56489779,1.918286751,2824.032167,94.31556366,0.484679206,42.51242469,1.093836839,4.403514675,656.7960944,6.987111181,0.0005,0.0005,25.72633537,0.00025,902.3941803,0.054159347,0.74991246,0.454408897,0.416342073,69.12862301,0.0025,0.01,0.838110648,354.8399592,0.118324797,1.128789073,9.354900348,0.022241922,4.519101768,32.44597156,0.414580857,11,4.48,24.7,0.105,10.4,59.35,277425,0.444,2662,8.19,43346,2.18,15248,0.062,480,0.81,4885,2.271,16231,1.91,14169,1.335,11082,0.206,899,0.18,721,0.002,20,0.025,250,22.82,99.78,1.5,418,1.5,41,6,22,1.5,2.5,7,9,10,1,9,7,15,43,2.5,7,2,249,2.5,7,1.5,37,2.5,27,41,313
