HEADER,"GEMAS, agricultural soil, 0-20 cm, air dried, <2 mm",,,,,,,,,,
COMMENT DATASET,"field duplicates included, analytical duplicates and standards removed, ATTENTION: original instrument readings, including values below detection",,,,,,,,,,
SAMPLE IDENTIFIER,ID,,,,,,,,,,
COORDINATES,,,,,XCOO,YCOO,,,,,
COMMENT VARIABLES,,,,,,,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g
EXTRACTION,,,,,,,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia
METHOD,,,,,,,"ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15"
LDL,,,,,,,50,1,0.01,0.01,0.001
UNIT,,,,,,,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
,ID,COUNTRY,C_ID,TYPE,XCOO,YCOO,Mg,Mn,Mo,Pb,Pd
,3001,GER,39,Ap,10.6667,52.4167,411.3191195,144.2570304,0.15903899,14.91435776,0.0005
,3002,SKA,20,Ap,19.608,48.5683,3003.397832,447.1854126,0.307939773,20.3817877,0.0005
,3003,EST,9,Ap,22.5333,58.58,1501.966602,259.8720535,0.39970182,10.58576003,0.0005
,3004,LIT,9,Ap,24.9375,55.4631,1676.184858,153.5411519,0.121897367,7.667461917,0.001074742
,3005,NOR,9,Ap,25.0675,70.5008,2824.032167,94.31556366,0.484679206,6.987111181,0.0005
,3006,PTG,22,Ap,-8.9333,38.9333,9046.2146,623.9390289,0.347827296,25.16701368,0.002307172
,3007,GER,44,Ap,14.3333,52.5833,1714.471854,355.9663726,0.220914159,14.75631865,0.001993063
,3008,LIT,11,Ap,25.0006,56.1044,4032.952275,307.4806538,0.286431257,9.061870527,0.001115071
,3009,POL,11,Ap,22.0199,54.0378,1517.396695,203.1936354,0.233787111,9.972212192,0.001462377
,3011,SWE,167,Ap,16.6682,58.645,1527.781724,130.0830119,0.235718245,8.769283541,0.0005
,3012,DEN,6,Ap,8.7833,55.85,142.0073271,67.42431982,0.105248444,7.403079086,0.0005
,3013,ITA,11,Ap,12.8239,37.7925,3474.814644,561.1494624,0.479336216,16.63862165,0.0005
,3014,SKA,20,ApD,19.608,48.5684,3118.599385,471.7342321,0.255504349,20.25407239,0.0005
,3015,FRA,99,Ap,-0.809,46.8801,3630.359785,469.2572545,0.399920668,19.15512421,0.0005
,3016,FIN,73,Ap,26.6667,63.1333,9890.652466,379.2859285,0.865470541,10.05324185,0.003816625
,3017,UKR,60,Ap,26.2307,50.9489,219.8659564,152.2648129,0.085830659,3.616831985,0.0005
,3018,CRO,10,Ap,15.3217,45.2075,4207.213125,1276.531754,2.555796379,31.42603465,0.0005
,3019,NOR,93,Ap,5.8572,59.455,4250.472465,188.6057271,1.486010853,12.40833935,0.0005
,3021,ITA,104,Ap,10.956,46.011,20197.41089,500.7356913,0.723087902,23.55030149,0.0005
,3022,HEL,68,Ap,24.1222,38.5667,8412.719116,535.2926483,0.249422621,16.46757505,0.0005
,3023,HUN,22,Ap,20.8638,46.7419,8106.257935,619.6761313,0.302584612,16.40954567,0.001506669
,3024,UKR,109,Ap,26.1414,50.0083,1863.805569,401.6605987,0.170230851,10.75597626,0.0005
,3025,GER,144,Ap,7.5833,47.75,2159.572658,759.1729978,0.460651307,19.45151239,0.0005
,3026,EST,11,Ap,25.7664,58.5919,1303.574547,411.2837718,0.294618012,9.564517381,0.0005
,3027,EST,11,ApD,25.7664,58.5919,1414.817259,396.7792785,0.299850999,10.20571303,0.0005
,3028,SWE,164,Ap,14.7479,57.9911,1514.615664,620.8634236,2.490756772,11.28637834,0.0005
,3029,SPA,135,Ap,-4.6653,39.0667,314.3823488,50.2111385,0.194898253,9.463355097,0.0005
,3030,NOR,4,Ap,21.1533,69.7428,6397.111816,176.4388567,0.371935897,6.032623084,0.002721902
,3031,SPA,81,Ap,-1.6328,41.3183,1880.191157,286.4641195,0.573976214,10.95205597,0.0005
,3032,ITA,62,Ap,12.6983,42.8986,6344.387817,625.447109,0.74820135,13.28249674,0.002412775
,3033,CYP,4,Ap,32.9853,34.6556,7650.699463,652.2587487,0.92686803,10.84019373,0.0005
,3034,BEL,12,Ap,5.5803,49.5881,1121.774208,2282.811737,0.469836421,19.66943503,0.0005
,3035,POL,97,Ap,21.0497,50.9305,2016.324339,274.481056,0.171779826,13.84522263,0.0005
,3036,FRA,187,Ap,0.4212,43.8081,2788.371128,945.9407564,0.636836217,29.41055593,0.002553109
,3037,GER,99,Ap,12.1667,50.4167,9700.744019,1353.840485,0.837835473,30.05096499,0.007137989
,3038,UNK,136,Ap,0.3085,53.1535,5351.28418,489.5239198,1.30638408,24.88925425,0.004530324
,3041,UKR,105,Ap,23.4469,50.1102,266.6541673,170.9484991,0.208181736,8.441891043,0.0005
,3042,LAV,25,Ap,23.9754,56.8678,757.5711856,227.3334608,0.244674207,8.291480561,0.010569576
,3043,FIN,9,Ap,22.3333,60.35,7951.708374,251.1554353,0.553338525,13.63604892,0.004571111
,3044,NOR,54,Ap,15.4631,68.3497,1136.902409,80.74279357,0.560533101,3.612187724,0.0005
