"","xcoo","ycoo","external2","external3","external4","external1","housing","foodstuffs","alcohol","other","services","housing2","foodstuffs2","alcohol2","other2","services2"
"1",34842,37948,"37","W",3,31,"0","0","0","0","0",331.87146956293,349.858866240614,18.4788449703908,-2413.68772396198,-229.900798518066
"2",49033,32095,"34","M",3,30,"1800","484","515","2291","912",878.328553383486,411.930189591028,256.02505135367,226.122413285644,306.96438790352
"3",36577,46074,"43","M",3,30,"2085","445","725","8373","1732",1660.46902086504,436.089872676375,490.874349404662,2979.48133097282,904.125531341423
"4",39839,32657,"42","W",3,32,".","0","0","0","0",1557.83187790208,436.965767144981,441.017085928049,3281.9469558227,911.177609510527
"5",48834,37920,"31","W",1,45,"0","368","0","0","0",1896.50466247631,423.275515761699,620.720458505357,4267.63911074798,1177.44350947752
"6",34193,33720,"45","M",3,43,"0","364","0","0",".",1256.10123500479,405.812928240708,365.539482351176,2960.54026255202,753.701494123316
"7",33106,31239,"36","W",1,35,"0","415",".","588","420",1805.99305066056,509.963018901816,494.111563897935,2499.05735426045,913.860389802675
"8",34410,36953,"38","M",1,33,"0","0","0","0","0",1607.08296866121,392.821162318406,490.846895819945,3436.03312399684,940.138419668097
"9",49854,36491,"39","W",1,42,"1394",".","393","1161","636",275.941561529669,321.58526519428,-35.4711080275689,-1286.5555455905,-159.128130758299
"10",41364,37426,"50","W",1,40,"1285","374","363","785","487",1869.56002535494,445.568850039494,578.111147690493,5646.44275477537,1304.4100095401
"11",44499,48916,"45","M",1,40,"1102","469","243","496","388",1522.14413561296,433.609562243467,436.473500994586,3180.49550400668,890.046168077092
"12",35182,35282,"33","M",3,30,"1717","452","452",".","832",630.200663557621,407.356326757905,68.3259004867999,-3495.29742608864,-226.292886773233
"13",34849,49764,"48","M",3,34,"1549","454","424","1345","676",1901.15307127731,482.848996099405,520.751403802546,1856.16532746055,853.415374486809
"14",42566,48585,"32","M",3,32,"0","386","0","0","0",490.224131694126,328.345477582387,64.9699736125667,-2319.42091837576,-167.119732408149
"15",47216,35253,"45","W",1,40,"0","386","211","0","0",964.61130527956,361.363836428574,261.592236307466,2534.51730956667,549.561016688759
"16",37710,39449,"41","W",1,48,"1130","394","271","490","386",2279.65845154386,548.331978814202,659.849543704962,2101.34257849809,1054.40245832571
"17",35236,33110,"48","M",1,43,"1765","466","524","2133","822",2787.911956617,561.927889343619,794.507426786277,3056.89666053476,1344.57268444103
"18",47693,33683,"49","M",1,44,"1195","443","329","974","523",1181.20192483331,417.25851216468,264.313233796557,-241.550432334443,281.678269278272
"19",38816,44635,"34","W",3,42,"2180","521","553","2781","1010",1998.98932242519,503.085705823024,516.511535422887,1689.0796217127,888.165117649932
"20",41225,37059,"42","W",3,31,"1017","410","225","419","0",2487.98132322338,512.362891230474,799.230196870066,5506.50368457012,1560.99969430651
