"","external1","housing","foodstuffs","alcohol","other","services"
"1",31,0,0,0,0,0
"2",30,1800,484,515,2291,912
"3",30,2085,445,725,8373,1732
"4",32,NA,0,0,0,0
"5",45,0,368,0,0,0
"6",43,0,364,0,0,NA
"7",35,0,415,NA,588,420
"8",33,0,0,0,0,0
"9",42,1394,NA,393,1161,636
"10",40,1285,374,363,785,487
"11",40,1102,469,243,496,388
"12",30,1717,452,452,NA,832
"13",34,1549,454,424,1345,676
"14",32,0,386,0,0,0
"15",40,0,386,211,0,0
"16",48,1130,394,271,490,386
"17",43,1765,466,524,2133,822
"18",44,1195,443,329,974,523
"19",42,2180,521,553,2781,1010
"20",31,1017,410,225,419,0
