"","xcoo","ycoo","external2","external3","external4","external1","housing","foodstuffs","alcohol","other","services"
"1",34842,37948,"37","W",3,31,0,0,0,0,0
"2",49033,32095,"34","M",3,30,1800,484,515,2291,912
"3",36577,46074,"43","M",3,30,2085,445,725,8373,1732
"4",39839,32657,"42","W",3,32,NA,0,0,0,0
"5",48834,37920,"31","W",1,45,0,368,0,0,0
"6",34193,33720,"45","M",3,43,0,364,0,0,NA
"7",33106,31239,"36","W",1,35,0,415,NA,588,420
"8",34410,36953,"38","M",1,33,0,0,0,0,0
"9",49854,36491,"39","W",1,42,1394,NA,393,1161,636
"10",41364,37426,"50","W",1,40,1285,374,363,785,487
"11",44499,48916,"45","M",1,40,1102,469,243,496,388
"12",35182,35282,"33","M",3,30,1717,452,452,NA,832
"13",34849,49764,"48","M",3,34,1549,454,424,1345,676
"14",42566,48585,"32","M",3,32,0,386,0,0,0
"15",47216,35253,"45","W",1,40,0,386,211,0,0
"16",37710,39449,"41","W",1,48,1130,394,271,490,386
"17",35236,33110,"48","M",1,43,1765,466,524,2133,822
"18",47693,33683,"49","M",1,44,1195,443,329,974,523
"19",38816,44635,"34","W",3,42,2180,521,553,2781,1010
"20",41225,37059,"42","W",3,31,1017,410,225,419,0
